ダウンロードした時刻：2018/11/12 12:46:52

,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島
年月日,降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,4.0,0,8,1,0.3,0,8,1,7.3,8,1,-0.4,8,1,0.0,8,1,1.0,8,1,8.1,8,1,2.4,8,1
2017/1/2,24.5,0,8,1,0.2,0,8,1,9.1,8,1,3.3,8,1,16.5,8,1,0.0,8,1,9.0,8,1,5.0,8,1
2017/1/3,4.0,0,8,1,2.6,0,8,1,8.6,8,1,3.7,8,1,3.5,8,1,0.4,8,1,6.2,8,1,2.5,8,1
2017/1/4,13.5,0,8,1,0.9,0,8,1,6.4,8,1,1.8,8,1,4.0,8,1,1.7,8,1,7.0,8,1,2.3,8,1
2017/1/5,10.5,0,8,1,1.3,0,8,1,4.3,8,1,-1.0,8,1,3.5,8,1,0.7,8,1,4.0,8,1,-0.6,8,1
2017/1/6,1.5,0,8,1,0.0,0,8,1,2.5,8,1,-0.3,8,1,0.0,8,1,0.0,8,1,4.0,8,1,0.6,8,1
2017/1/7,4.5,0,8,1,1.5,0,8,1,7.6,8,1,0.9,8,1,2.5,8,1,1.4,8,1,7.5,8,1,3.3,8,1
2017/1/8,0.0,0,8,1,6.5,0,8,1,7.7,8,1,0.0,8,1,0.0,8,1,4.6,8,1,6.0,8,1,1.8,8,1
2017/1/9,4.5,0,8,1,0.0,0,8,1,7.7,8,1,3.1,8,1,8.0,8,1,0.0,8,1,7.3,8,1,4.0,8,1
2017/1/10,9.5,0,8,1,0.5,0,8,1,5.3,8,1,0.2,8,1,4.0,8,1,1.1,8,1,5.9,8,1,-0.4,8,1
2017/1/11,1.5,0,8,1,0.0,0,8,1,2.1,8,1,-1.5,8,1,0.5,8,1,0.0,8,1,1.5,8,1,-2.1,8,1
2017/1/12,4.0,0,8,1,0.0,0,8,1,0.9,8,1,-1.5,8,1,0.0,8,1,0.1,8,1,1.1,8,1,-1.4,8,1
2017/1/13,5.0,0,8,1,0.0,0,8,1,0.8,8,1,-2.2,8,1,1.0,8,1,0.2,8,1,1.6,8,1,-2.7,8,1
2017/1/14,6.5,0,8,1,0.0,0,8,1,-0.6,8,1,-4.7,8,1,1.5,8,1,0.0,8,1,-0.6,8,1,-5.0,8,1
2017/1/15,19.5,0,8,1,1.0,0,8,1,2.0,8,1,-6.0,8,1,17.0,8,1,0.6,8,1,0.9,8,1,-5.2,8,1
2017/1/16,6.0,0,8,1,0.9,0,8,1,3.7,8,1,-2.5,8,1,3.0,8,1,2.1,8,1,4.7,8,1,-0.1,8,1
2017/1/17,3.5,0,8,1,2.8,0,8,1,2.8,8,1,-3.4,8,1,7.0,8,1,2.1,8,1,4.8,8,1,0.3,8,1
2017/1/18,1.5,0,8,1,4.8,0,8,1,5.4,8,1,1.1,8,1,0.5,8,1,4.3,8,1,7.3,8,1,1.4,8,1
2017/1/19,7.0,0,8,1,2.5,0,8,1,5.8,8,1,0.6,8,1,2.5,8,1,3.3,8,1,5.8,8,1,1.2,8,1
2017/1/20,2.0,0,8,1,3.1,0,8,1,4.2,8,1,-1.9,8,1,1.0,8,1,3.5,8,1,4.8,8,1,1.3,8,1
2017/1/21,4.0,0,8,1,3.4,0,8,1,4.1,8,1,-0.1,8,1,7.5,8,1,0.8,8,1,5.2,8,1,0.2,8,1
2017/1/22,14.5,0,8,1,0.0,0,8,1,4.4,8,1,-1.7,8,1,3.5,8,1,0.1,8,1,4.6,8,1,-0.2,8,1
2017/1/23,6.5,0,8,1,2.3,0,8,1,2.9,8,1,-1.3,8,1,3.0,8,1,2.7,8,1,3.2,8,1,-1.5,8,1
2017/1/24,1.5,0,8,1,1.7,0,8,1,0.4,8,1,-2.7,8,1,0.5,8,1,1.7,8,1,0.3,8,1,-2.8,8,1
2017/1/25,12.0,0,8,1,0.1,0,8,1,3.5,8,1,-1.6,8,1,4.5,8,1,0.0,8,1,2.3,8,1,-1.5,8,1
2017/1/26,0.0,0,8,1,3.4,0,8,1,6.3,8,1,0.5,8,1,0.0,8,1,3.1,8,1,7.4,8,1,1.8,8,1
2017/1/27,3.5,0,8,1,0.0,0,8,1,10.3,8,1,0.5,8,1,2.5,8,1,0.0,8,1,10.5,8,1,0.5,8,1
2017/1/28,0.0,0,8,1,2.9,0,8,1,5.4,8,1,1.4,8,1,1.0,8,1,1.3,8,1,5.4,8,1,0.7,8,1
2017/1/29,0.0,0,8,1,4.8,0,8,1,7.7,8,1,-0.4,8,1,0.5,8,1,3.0,8,1,8.7,8,1,1.0,8,1
2017/1/30,18.0,0,8,1,0.0,0,8,1,6.6,8,1,-0.5,8,1,15.0,8,1,0.2,8,1,8.0,8,1,-1.4,8,1
2017/1/31,3.0,0,8,1,0.3,0,8,1,3.6,8,1,-1.1,8,1,1.0,8,1,0.6,8,1,3.1,8,1,-1.3,8,1
2017/2/1,6.0,0,8,1,0.0,0,8,1,6.6,8,1,-3.0,8,1,5.5,8,1,0.0,8,1,5.3,8,1,-3.3,8,1
2017/2/2,8.0,0,8,1,0.0,0,8,1,2.2,8,1,-4.0,8,1,2.5,8,1,0.7,8,1,1.4,8,1,-4.4,8,1
2017/2/3,2.5,0,8,1,0.4,0,8,1,4.6,8,1,0.0,8,1,0.5,8,1,0.0,8,1,4.1,8,1,-0.7,8,1
2017/2/4,2.5,0,8,1,4.9,0,8,1,8.2,8,1,3.4,8,1,0.0,8,1,3.2,8,1,8.7,8,1,3.3,8,1
2017/2/5,2.5,0,8,1,2.4,0,8,1,7.1,8,1,0.9,8,1,2.5,8,1,0.3,8,1,7.7,8,1,3.5,8,1
2017/2/6,22.0,0,8,1,0.4,0,8,1,8.2,8,1,2.0,8,1,15.0,8,1,0.2,8,1,7.9,8,1,2.0,8,1
2017/2/7,3.5,0,8,1,1.7,0,8,1,3.6,8,1,-1.2,8,1,1.5,8,1,0.8,8,1,3.2,8,1,-1.5,8,1
2017/2/8,1.0,0,8,1,0.4,0,8,1,3.8,8,1,-0.7,8,1,1.0,8,1,0.0,8,1,3.4,8,1,-1.3,8,1
2017/2/9,0.5,0,8,1,2.6,0,8,1,5.3,8,1,0.6,8,1,0.0,8,1,0.9,8,1,4.5,8,1,1.8,8,1
2017/2/10,5.0,0,8,1,0.7,0,8,1,4.6,8,1,-0.2,8,1,14.5,8,1,0.5,8,1,3.4,8,1,-0.4,8,1
2017/2/11,16.0,0,8,1,0.3,0,8,1,5.2,8,1,-0.7,8,1,5.0,8,1,1.2,8,1,5.4,8,1,-0.5,8,1
2017/2/12,7.0,0,8,1,0.0,0,8,1,4.4,8,1,0.8,8,1,7.0,8,1,0.2,8,1,3.9,8,1,0.4,8,1
2017/2/13,2.5,0,8,1,0.9,0,8,1,4.0,8,1,1.0,8,1,0.0,8,1,1.0,8,1,6.1,8,1,1.2,8,1
2017/2/14,9.0,0,8,1,0.7,0,8,1,4.5,8,1,0.5,8,1,4.5,8,1,1.0,8,1,5.2,8,1,1.0,8,1
2017/2/15,3.0,0,8,1,0.9,0,8,1,6.3,8,1,1.4,8,1,2.0,8,1,0.8,8,1,7.0,8,1,1.0,8,1
2017/2/16,0.0,0,8,1,3.4,0,8,1,11.6,8,1,2.1,8,1,0.0,8,1,0.9,8,1,10.2,8,1,5.5,8,1
2017/2/17,19.5,0,8,1,0.0,0,8,1,12.3,8,1,1.3,8,1,15.5,8,1,0.0,8,1,11.7,8,1,1.6,8,1
2017/2/18,0.0,0,8,1,1.1,0,8,1,2.9,8,1,-0.3,8,1,0.5,8,1,1.9,8,1,3.1,8,1,-1.2,8,1
2017/2/19,0.0,0,8,1,2.5,0,8,1,3.2,8,1,-1.7,8,1,0.0,8,1,1.3,8,1,3.5,8,1,-1.6,8,1
2017/2/20,13.0,0,8,1,0.0,0,8,1,7.8,8,1,0.1,8,1,31.5,8,1,0.0,8,1,7.4,8,1,0.9,8,1
2017/2/21,2.0,0,8,1,1.9,0,8,1,3.2,8,1,-1.6,8,1,0.5,8,1,2.2,8,1,2.4,8,1,-1.9,8,1
2017/2/22,0.0,0,8,1,0.1,0,8,1,5.3,8,1,0.9,8,1,0.0,8,1,0.0,8,1,5.1,8,1,0.1,8,1
2017/2/23,21.0,0,8,1,0.2,0,8,1,9.5,8,1,1.8,8,1,14.0,8,1,0.0,8,1,8.4,8,1,1.7,8,1
2017/2/24,2.5,0,8,1,0.9,0,8,1,3.7,8,1,-0.8,8,1,1.0,8,1,0.8,8,1,2.7,8,1,-1.3,8,1
2017/2/25,3.5,0,8,1,5.6,0,8,1,6.9,8,1,0.5,8,1,2.0,8,1,7.0,8,1,7.5,8,1,0.1,8,1
2017/2/26,3.0,0,8,1,4.2,0,8,1,7.5,8,1,1.7,8,1,0.5,8,1,4.2,8,1,7.5,8,1,0.3,8,1
2017/2/27,0.5,0,8,1,5.6,0,8,1,3.5,8,1,-0.6,8,1,0.0,8,1,3.5,8,1,4.4,8,1,-1.1,8,1
2017/2/28,0,1,8,1,10.8,0,8,1,5.6,8,1,-3.3,8,1,0.0,8,1,8.7,8,1,4.7,8,1,-1.5,8,1
2017/3/1,0,1,8,1,4.9,0,8,1,8.7,8,1,-1.1,8,1,0.0,8,1,4.1,8,1,7.5,8,1,2.0,8,1
2017/3/2,0,1,8,1,6.0,0,8,1,11.6,8,1,1.7,8,1,0.0,8,1,4.9,8,1,10.0,8,1,3.3,8,1
2017/3/3,2.0,0,8,1,0.1,0,8,1,7.4,8,1,2.0,8,1,0.5,8,1,1.0,8,1,6.9,8,1,1.9,8,1
2017/3/4,1.0,0,8,1,0.7,0,8,1,7.5,8,1,2.4,8,1,12.0,8,1,2.7,8,1,7.6,8,1,0.7,8,1
2017/3/5,0,1,8,1,7.5,0,8,1,7.4,8,1,-1.1,8,1,0.0,8,1,6.8,8,1,7.1,8,1,0.2,8,1
2017/3/6,1.5,0,8,1,5.3,0,8,1,14.7,8,1,1.6,8,1,8.0,8,1,0.7,8,1,10.7,8,1,1.3,8,1
2017/3/7,4.0,0,8,1,3.6,0,8,1,4.5,8,1,-0.3,8,1,0.5,8,1,3.4,8,1,4.6,8,1,-1.0,8,1
2017/3/8,1.0,0,8,1,3.9,0,8,1,4.8,8,1,0.2,8,1,2.5,8,1,5.1,8,1,4.5,8,1,-1.1,8,1
2017/3/9,1.5,0,8,1,2.3,0,8,1,7.8,8,1,1.9,8,1,1.5,8,1,4.5,8,1,8.1,8,1,0.8,8,1
2017/3/10,2.5,0,8,1,2.6,0,8,1,6.7,8,1,1.4,8,1,3.5,8,1,3.5,8,1,5.7,8,1,0.5,8,1
2017/3/11,4.5,0,8,1,3.8,0,8,1,6.2,8,1,0.3,8,1,0.5,8,1,6.6,8,1,7.8,8,1,0.0,8,1
2017/3/12,0,1,8,1,5.4,0,8,1,8.6,8,1,0.0,8,1,0.0,8,1,3.3,8,1,10.0,8,1,1.7,8,1
2017/3/13,0,1,8,1,6.3,0,8,1,11.7,8,1,-0.2,8,1,0.0,8,1,5.4,8,1,8.8,8,1,2.1,8,1
2017/3/14,18.0,0,8,1,0.0,0,8,1,8.6,8,1,3.3,8,1,14.0,8,1,0.4,8,1,7.1,8,1,3.3,8,1
2017/3/15,1.0,0,8,1,0.6,0,8,1,6.6,8,1,2.3,8,1,2.5,8,1,0.0,8,1,5.2,8,1,2.6,8,1
2017/3/16,1.0,0,8,1,3.6,0,8,1,8.5,8,1,2.0,8,1,1.0,8,1,4.2,8,1,8.2,8,1,2.5,8,1
2017/3/17,2.5,0,8,1,6.8,0,8,1,9.0,8,1,3.3,8,1,1.0,8,1,4.9,8,1,10.3,8,1,2.4,8,1
2017/3/18,9.5,0,8,1,6.4,0,8,1,11.0,8,1,5.2,8,1,4.0,8,1,6.1,8,1,11.5,8,1,2.8,8,1
2017/3/19,0,1,8,1,7.5,0,8,1,9.3,8,1,1.5,8,1,0.0,8,1,7.1,8,1,10.1,8,1,3.6,8,1
2017/3/20,0,1,8,1,10.1,0,8,1,11.6,8,1,3.1,8,1,0.0,8,1,8.7,8,1,13.0,8,1,3.6,8,1
2017/3/21,11.0,0,8,1,0.0,0,8,1,11.1,8,1,3.6,8,1,8.5,8,1,0.0,8,1,9.5,8,1,3.5,8,1
2017/3/22,2.5,0,8,1,5.2,0,8,1,10.1,8,1,4.6,8,1,0.0,8,1,4.9,8,1,10.4,8,1,3.6,8,1
2017/3/23,0.0,0,8,1,5.7,0,8,1,7.8,8,1,3.5,8,1,0.0,8,1,6.0,8,1,8.3,8,1,0.9,8,1
2017/3/24,5.0,0,8,1,2.1,0,8,1,5.9,8,1,1.2,8,1,1.0,8,1,4.2,8,1,7.5,8,1,0.1,8,1
2017/3/25,0.0,0,8,1,5.5,0,8,1,7.3,8,1,-0.1,8,1,0.5,8,1,6.1,8,1,9.5,8,1,1.1,8,1
2017/3/26,0.0,0,8,1,10.8,0,8,1,10.3,8,1,-1.9,8,1,0.0,8,1,9.1,8,1,9.7,8,1,1.7,8,1
2017/3/27,13.5,0,8,1,0.0,0,8,1,7.1,8,1,2.7,8,1,5.0,8,1,0.0,8,1,6.5,8,1,3.2,8,1
2017/3/28,0.5,0,8,1,4.2,0,8,1,9.5,8,1,1.6,8,1,0.5,8,1,4.2,8,1,9.4,8,1,2.5,8,1
2017/3/29,0.0,0,8,1,8.0,0,8,1,10.7,8,1,2.3,8,1,0.0,8,1,7.7,8,1,11.5,8,1,4.5,8,1
2017/3/30,2.5,0,8,1,5.4,0,8,1,14.1,8,1,1.9,8,1,0.5,8,1,5.2,8,1,11.6,8,1,5.7,8,1
2017/3/31,0.5,0,8,1,0.8,0,8,1,8.6,8,1,1.5,8,1,0.0,8,1,3.0,8,1,8.6,8,1,2.3,8,1
2017/4/1,0.0,0,8,1,6.9,0,8,1,9.7,8,1,-0.4,8,1,0.0,8,1,8.5,8,1,10.7,8,1,1.7,8,1
2017/4/2,0.5,0,8,1,6.9,0,8,1,8.9,8,1,2.5,8,1,0.0,8,1,6.1,8,1,11.0,8,1,3.0,8,1
2017/4/3,1.5,0,8,1,2.1,0,8,1,10.2,8,1,2.0,8,1,0.5,8,1,1.5,8,1,10.6,8,1,4.3,8,1
2017/4/4,0,1,8,1,8.8,0,8,1,13.0,8,1,1.1,8,1,0.0,8,1,5.5,8,1,13.9,8,1,4.4,8,1
2017/4/5,0,1,8,1,11.3,0,8,1,19.7,8,1,3.4,8,1,0.0,8,1,9.3,8,1,16.3,8,1,5.7,8,1
2017/4/6,2.0,0,8,1,3.7,0,8,1,21.9,8,1,8.3,8,1,1.5,8,1,1.8,8,1,16.1,8,1,8.8,8,1
2017/4/7,12.5,0,8,1,0.0,0,8,1,13.3,8,1,7.3,8,1,8.0,8,1,1.1,8,1,11.6,8,1,8.4,8,1
2017/4/8,0.0,0,8,1,0.3,0,8,1,16.6,8,1,6.8,8,1,0.0,8,1,1.1,8,1,14.5,8,1,7.5,8,1
2017/4/9,0.5,0,8,1,2.8,0,8,1,11.3,8,1,7.9,8,1,0.5,8,1,3.8,8,1,11.4,8,1,6.1,8,1
2017/4/10,0,1,8,1,12.3,0,8,1,12.1,8,1,1.6,8,1,0.0,8,1,10.1,8,1,13.4,8,1,4.2,8,1
2017/4/11,13.0,0,8,1,2.0,0,8,1,14.7,8,1,7.4,8,1,15.0,8,1,0.7,8,1,11.9,8,1,7.6,8,1
2017/4/12,3.5,0,8,1,5.5,0,8,1,10.7,8,1,6.7,8,1,1.0,8,1,4.4,8,1,10.6,8,1,4.2,8,1
2017/4/13,1.5,0,8,1,7.9,0,8,1,11.0,8,1,2.9,8,1,1.5,8,1,9.4,8,1,10.2,8,1,2.3,8,1
2017/4/14,0,1,8,1,7.0,0,8,1,18.0,8,1,1.2,8,1,0.0,8,1,5.5,8,1,15.1,8,1,7.6,8,1
2017/4/15,2.5,0,8,1,0.1,0,8,1,16.2,8,1,8.7,8,1,7.0,8,1,1.5,8,1,13.0,8,1,9.7,8,1
2017/4/16,0,1,8,1,7.1,0,8,1,20.2,8,1,7.3,8,1,0.0,8,1,6.4,8,1,14.3,8,1,8.8,8,1
2017/4/17,3.5,0,8,1,6.0,0,8,1,21.5,8,1,8.1,8,1,2.5,8,1,4.2,8,1,15.7,8,1,7.2,8,1
2017/4/18,9.0,0,8,1,1.4,0,8,1,19.5,8,1,9.8,8,1,2.0,8,1,1.1,8,1,13.6,8,1,8.9,8,1
2017/4/19,6.5,0,8,1,3.5,0,8,1,15.3,8,1,6.6,8,1,4.0,8,1,2.9,8,1,12.1,8,1,5.3,8,1
2017/4/20,0.0,0,8,1,1.6,0,8,1,10.6,8,1,7.2,8,1,0.0,8,1,2.4,8,1,11.5,8,1,6.1,8,1
2017/4/21,0.0,0,8,1,2.5,0,8,1,17.8,8,1,7.6,8,1,0.0,8,1,6.2,8,1,16.4,8,1,7.6,8,1
2017/4/22,1.5,0,8,1,5.3,0,8,1,11.8,8,1,7.1,8,1,0.0,8,1,6.7,8,1,13.7,8,1,5.1,8,1
2017/4/23,0.5,0,8,1,7.2,0,8,1,11.7,8,1,4.3,8,1,0.0,8,1,10.0,8,1,12.5,8,1,4.5,8,1
2017/4/24,0,1,8,1,12.8,0,8,1,19.3,8,1,3.0,8,1,0.0,8,1,10.1,8,1,16.8,8,1,5.3,8,1
2017/4/25,0,1,8,1,8.2,0,8,1,22.4,8,1,9.6,8,1,1.5,8,1,3.2,8,1,18.0,8,1,9.3,8,1
2017/4/26,38.5,0,8,1,0.0,0,8,1,14.2,8,1,10.2,8,1,31.5,8,1,0.0,8,1,12.4,8,1,9.3,8,1
2017/4/27,0.0,0,8,1,11.0,0,8,1,14.5,8,1,9.0,8,1,0.0,8,1,9.4,8,1,14.9,8,1,6.2,8,1
2017/4/28,0,1,8,1,11.7,0,8,1,16.5,8,1,9.4,8,1,0.0,8,1,9.7,8,1,16.0,8,1,9.2,8,1
2017/4/29,3.0,0,8,1,4.0,0,8,1,15.7,8,1,8.3,8,1,6.5,8,1,1.8,8,1,12.1,8,1,8.5,8,1
