,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,飛島,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,差首鍋,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ
年月,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2008/2,36.5,0,5,1,9.2,8,1,-4.1,8,1,1.1,8,1,-1.5,8,1,3.8,8,1,135.5,0,8,1,21.5,0,8,1,48.8,8,2,9.0,8,2,-4.5,8,2,1.5,8,1,-0.9,8,2,4.3,8,2,22,8,1,11,8,1,28.2,4,2,7.7,8,2,-10.9,8,2,-1.4,8,1,-4.3,8,2,1.7,8,2,219,8,1,27,8,1,38.3,8,2,10.3,5,2,-2.9,5,2,1.9,5,1,-1.0,5,2,4.2,5,2,87,8,1,16,8,1
2008/3,132.7,0,8,1,20.3,8,1,-2.3,8,1,6.3,8,1,2.5,8,1,10.5,8,1,66.0,0,8,1,11.5,0,8,1,136.7,8,2,15.0,8,2,-0.2,8,2,6.4,8,1,3.7,8,2,10.0,8,2,37.0,8,1,8.0,8,1,111.1,5,2,14.4,8,2,-6.4,8,2,2.3,8,1,-1.9,8,2,7.5,8,2,88.5,8,1,16.0,8,1,125.3,8,2,14.6,8,2,-1.3,8,2,6.2,8,1,2.7,8,2,9.1,8,2,62.5,8,1,12.0,8,1
2008/4,179.8,0,8,1,25.2,8,1,2.2,8,1,11.5,8,1,6.6,8,1,16.2,8,1,42.5,0,8,1,12.0,0,8,1,208.1,8,2,20.6,8,2,2.9,8,2,10.8,8,1,7.4,8,2,15.1,8,2,53.5,8,1,18.5,8,1,133.4,5,2,24.5,8,2,-1.6,8,2,9.4,8,1,3.2,8,2,15.5,8,2,62.5,8,1,15.5,8,1,179.9,8,2,22.7,8,2,1.6,8,2,10.9,8,1,6.5,8,2,14.7,8,2,37.5,8,1,19.0,8,1
2008/5,211.6,0,8,1,28.7,8,1,6.5,8,1,15.8,8,1,11.7,8,1,20.5,8,1,63.0,0,8,1,23.5,0,8,1,213.8,8,2,26.1,8,2,5.8,8,2,14.2,8,1,10.8,8,2,18.3,8,2,56.0,8,1,25.5,8,1,183.3,8,2,28.7,8,2,1.9,8,2,13.9,8,1,8.4,8,2,19.6,8,2,89.5,8,1,30.5,8,1,206.2,8,2,27.2,8,2,6.9,8,2,15.0,8,1,10.9,8,2,18.8,8,2,45.5,8,1,16.0,8,1
2008/6,203.8,0,8,1,30.8,8,1,11.4,8,1,19.9,8,1,16.2,8,1,24.3,8,1,27.0,0,8,1,10.0,0,8,1,210.6,8,2,29.9,8,2,10.4,8,2,18.2,8,1,14.9,8,2,22.7,8,2,28.5,8,1,11.0,8,1,159.4,8,2,31.3,8,2,8.2,8,2,18.2,8,1,13.2,8,2,23.8,8,2,46.5,8,1,15.5,8,1,204.2,8,2,28.8,8,2,11.4,8,2,18.8,8,1,15.4,8,2,22.3,8,2,24.0,8,1,13.5,8,1
2008/7,122.1,0,8,1,32.6,8,1,12.6,8,1,24.2,8,1,21.0,8,1,27.8,8,1,187.0,0,8,1,37.0,0,8,1,131.4,8,2,31.0,5,2,14.2,5,2,22.6,8,1,20.1,5,2,26.4,5,2,152.5,8,1,26.0,8,1,106.0,8,2,31.1,8,2,9.6,8,2,22.7,8,1,18.9,8,2,27.2,8,2,255.5,8,1,58.0,8,1,127.0,8,2,31.3,8,2,12.3,8,2,23.4,8,1,20.0,8,2,26.3,8,2,183.0,8,1,25.5,8,1
2008/8,180.2,0,5,1,33.4,8,1,16.5,8,1,24.4,8,1,20.9,8,1,28.7,8,1,282.0,0,8,1,71.5,0,8,1,183.3,8,2,31.1,8,2,16.9,8,2,23.4,8,1,20.6,8,2,27.2,8,2,336.0,8,1,114.5,8,1,129.7,8,2,32.7,8,2,12.7,8,2,22.2,8,1,18.2,8,2,27.0,8,2,409.5,8,1,83.5,8,1,182.5,8,2,31.9,8,2,16.7,8,2,23.9,8,1,20.1,8,2,27.4,8,2,241.0,8,1,67.5,8,1
2008/9,201.9,0,8,1,33.0,8,1,8.1,8,1,21.7,8,1,17.4,8,1,26.3,8,1,77.0,0,8,1,30.5,0,8,1,197.6,8,2,29.7,8,2,10.6,8,2,20.8,8,1,17.7,8,2,24.9,8,2,61.0,8,1,24.0,8,1,153.7,8,2,31.0,8,2,4.3,8,2,18.9,8,1,14.5,8,2,24.7,8,2,123.0,8,1,42.0,8,1,192.8,8,2,29.5,8,2,10.9,8,2,21.2,8,1,17.2,8,2,24.9,8,2,42.5,8,1,10.0,8,1
2008/10,140.5,0,8,1,25.2,8,1,6.2,8,1,16.1,8,1,12.0,8,1,20.5,8,1,174.0,0,8,1,36.5,0,8,1,123.6,5,2,23.5,5,3,6.9,5,3,16.0,5,1,13.3,5,3,19.6,5,3,112.0,5,1,30.5,5,1,91.3,8,2,23.7,8,2,4.0,8,2,12.6,8,1,8.5,8,2,18.1,8,2,241.5,8,1,63.0,8,1,117.7,5,2,25.4,5,3,7.9,5,3,16.5,5,1,12.4,5,3,20.3,5,3,142.5,5,1,47.5,5,1
2008/11,100.6,0,8,1,21.3,8,1,0.7,8,1,9.1,8,1,5.4,8,1,13.4,8,1,266.5,0,8,1,47.5,0,8,1,78.2,8,2,19.2,8,3,0.4,8,3,9.7,8,1,7.0,8,3,13.0,8,3,145.0,8,1,35.0,8,1,81.8,5,2,19.2,5,3,-3.4,5,3,5.5,5,1,2.0,5,3,10.6,5,3,312.5,5,1,57.5,5,1,83.5,8,2,20.2,8,3,1.7,8,3,9.9,8,1,6.1,8,3,13.3,8,3,181.0,8,1,37.0,8,1
2008/12,64.5,0,8,1,16.9,8,1,-3.2,8,1,5.2,8,1,2.1,8,1,9.1,8,1,172.5,0,8,1,40.0,0,8,1,45.4,8,2,15.3,8,3,-3.0,8,3,6.2,8,1,3.3,8,3,9.3,8,3,119.0,8,1,14.5,8,1,27.8,8,2,11.8,8,3,-4.2,8,3,1.6,8,1,-1.1,8,3,4.9,8,3,313.0,8,1,52.0,8,1,44.0,8,2,19.9,8,3,-1.7,8,3,6.7,8,1,3.1,8,3,10.1,8,3,181.0,8,1,38.0,8,1
2009/1,65.1,0,8,1,12.5,8,1,-4.3,8,1,2.7,8,1,-0.1,8,1,5.4,8,1,246.0,0,8,1,34.0,0,8,1,53.1,8,2,12.3,8,3,-2.9,8,3,3.2,8,1,0.8,8,3,6.0,8,3,153.5,8,1,38.5,8,1,44.0,8,2,7.8,8,3,-11.0,8,3,-0.5,8,1,-3.9,8,3,2.8,8,3,391.5,8,1,50.0,8,1,51.0,8,2,13.4,8,3,-3.6,8,3,3.4,8,1,0.3,8,3,6.2,8,3,143.0,8,1,19.5,8,1
2009/2,58.2,0,8,1,14.5,8,1,-3.9,8,1,2.7,8,1,-0.3,8,1,6.1,8,1,155.5,0,8,1,26.5,0,8,1,59.1,8,2,12.3,8,3,-3.3,8,3,3.0,8,1,0.0,8,3,6.4,8,3,98.0,8,1,20.5,8,1,50.9,8,2,13.3,8,3,-10.0,8,3,-0.3,8,1,-4.2,8,3,3.9,8,3,242.0,8,1,65.5,8,1,48.1,8,2,17.2,8,3,-2.6,8,3,3.4,8,1,0.3,8,3,6.4,8,3,110.0,8,1,17.0,8,1
2009/3,109.8,0,8,1,20.9,8,1,-3.5,8,1,4.9,8,1,1.2,8,1,9.0,8,1,130.5,0,8,1,26.0,0,8,1,126.4,8,2,15.2,8,3,-1.6,8,3,4.6,8,1,1.6,8,3,8.5,8,3,88.5,8,1,23.5,8,1,102.4,8,2,16.1,8,3,-9.0,8,3,1.4,8,1,-2.5,8,3,6.1,8,3,236.0,8,1,41.0,8,1,101.5,8,2,19.4,8,3,-2.6,8,3,5.1,8,1,1.0,8,3,8.8,8,3,91.5,8,1,28.0,8,1
2009/4,177.0,0,8,1,22.2,8,1,-0.8,8,1,10.2,8,1,5.9,8,1,14.7,8,1,96.5,0,8,1,33.5,0,8,1,184.9,5,2,18.3,5,3,2.3,5,3,9.6,8,1,6.3,5,3,13.7,5,3,86.5,8,1,35.0,8,1,151.8,8,2,21.3,8,3,-3.7,8,3,7.9,8,1,2.2,8,3,14.3,8,3,177.0,8,1,53.0,8,1,182.6,8,2,20.2,8,3,-0.7,8,3,10.0,8,1,5.4,8,3,13.3,8,3,91.5,8,1,27.5,8,1
2009/5,188.1,0,8,1,28.1,8,1,5.6,8,1,16.4,8,1,12.4,8,1,20.8,8,1,49.0,0,8,1,17.5,0,8,1,191.1,8,2,25.2,8,3,5.7,8,3,14.6,8,1,11.5,8,3,18.8,8,3,56.5,8,1,21.0,8,1,185.1,8,2,27.8,8,3,0.7,8,3,14.8,8,1,9.1,8,3,21.0,8,3,134.5,8,1,63.0,8,1,181.7,8,2,26.0,8,3,5.7,8,3,15.8,8,1,12.4,8,3,19.3,8,3,33.0,8,1,7.5,8,1
2009/6,184.1,0,8,1,33.4,8,1,10.1,8,1,20.4,8,1,16.4,8,1,25.1,8,1,75.5,0,8,1,32.5,0,8,1,186.3,8,2,29.3,8,3,10.1,8,3,18.4,8,1,15.1,8,3,23.0,8,3,70.0,8,1,36.0,8,1,163.3,8,2,31.6,8,3,8.5,8,3,18.8,8,1,13.9,8,3,24.6,8,3,92.5,8,1,31.5,8,1,187.9,8,2,29.9,8,3,9.8,8,3,19.8,8,1,16.1,8,3,23.6,8,3,68.0,8,1,33.0,8,1
2009/7,119.9,0,8,1,33.2,8,1,16.2,8,1,23.1,8,1,20.4,8,1,26.9,8,1,267.5,0,8,1,51.5,0,8,1,106.0,8,2,28.7,8,3,16.8,8,3,21.3,8,1,19.1,8,3,24.4,8,3,266.5,8,1,48.5,8,1,86.5,8,2,31.9,8,3,14.5,8,3,22.0,8,1,18.8,8,3,26.4,8,3,491.5,8,1,113.5,8,1,106.2,8,2,31.0,8,3,16.4,8,3,22.5,8,1,19.9,8,3,25.5,8,3,213.5,8,1,35.0,8,1
2009/8,161.3,0,8,1,32.1,8,1,15.8,8,1,24.1,8,1,20.9,8,1,28.0,8,1,141.0,0,8,1,37.5,0,8,1,172.4,8,2,29.8,8,3,15.3,8,3,22.7,8,1,20.2,8,3,26.7,8,3,132.5,8,1,63.0,8,1,124.0,8,2,31.8,8,3,12.0,8,3,22.5,8,1,18.8,8,3,27.4,8,3,168.0,8,1,44.0,8,1,153.3,8,2,29.5,8,3,15.6,8,3,23.5,8,1,20.3,8,3,26.8,8,3,122.0,8,1,33.5,8,1
2009/9,159.1,0,5,1,28.2,5,1,11.6,8,1,20.2,5,1,16.2,8,1,24.4,5,1,91.5,0,8,1,15.5,0,8,1,175.8,8,2,27.6,8,3,13.2,8,3,19.5,8,1,16.6,8,3,23.6,8,3,53.5,8,1,14.5,8,1,122.2,8,2,28.0,8,3,8.0,8,3,17.5,8,1,13.1,8,3,23.0,8,3,162.0,8,1,34.5,8,1,164.3,8,2,27.0,8,3,12.6,8,3,20.1,8,1,16.1,8,3,23.7,8,3,40.0,8,1,10.0,8,1
2009/10,164.3,0,8,1,25.1,8,1,6.0,8,1,15.3,8,1,11.1,8,1,20.0,8,1,176.5,0,8,1,31.0,0,8,1,134.9,5,2,22.1,8,3,8.3,8,3,15.4,8,1,12.4,8,3,19.0,8,3,176.5,8,1,57.5,8,1,104.0,8,2,22.6,8,3,1.7,8,3,12.1,8,1,7.7,8,3,17.8,8,3,231.5,8,1,44.0,8,1,127.6,5,2,24.4,5,3,5.6,5,3,15.8,5,1,11.3,5,3,19.4,5,3,171.5,5,1,51.0,5,1
2009/11,99.0,0,8,1,21.8,8,1,2.0,8,1,10.4,8,1,6.7,8,1,14.3,8,1,211.0,0,8,1,25.5,0,8,1,61.9,8,2,20.0,8,3,1.7,8,3,10.3,8,1,7.7,8,3,13.4,8,3,155.0,8,1,17.5,8,1,60.5,8,2,17.7,8,3,-1.0,8,3,7.1,8,1,3.8,8,3,11.3,8,3,256.0,8,1,45.0,8,1,76.6,8,2,21.7,8,3,1.0,8,3,10.6,8,1,6.5,8,3,14.3,8,3,127.0,8,1,17.5,8,1
2009/12,39.1,0,8,1,13.0,8,1,-2.8,8,1,4.7,8,1,1.6,8,1,7.6,8,1,195.0,0,8,1,20.0,0,8,1,29.1,8,2,13.2,8,3,-2.7,8,3,4.9,8,1,2.6,8,3,7.4,8,3,136.0,8,1,28.0,8,1,37.4,8,2,11.5,8,3,-6.1,8,3,1.7,8,1,-1.5,8,3,4.8,8,3,313.0,8,1,49.0,8,1,31.0,8,2,15.6,8,3,-2.8,8,3,5.4,8,1,1.9,8,3,8.3,8,3,90.0,8,1,16.0,8,1
